Frame Number,Object ID,Object Class,Zone,Total Left ROI,Total Right ROI,Traffic Status
476,60,Car,Left Lane,3,2,Light
476,61,Car,Right Lane,3,2,Light
476,64,Car,Right Lane,3,2,Light
476,65,Car,Left Lane,3,2,Light
477,52,Car,Left Lane,3,2,Light
477,60,Car,Left Lane,3,2,Light
477,61,Car,Right Lane,3,2,Light
477,64,Car,Right Lane,3,2,Light
477,65,Car,Left Lane,3,2,Light
478,52,Car,Left Lane,3,2,Light
478,60,Car,Left Lane,3,2,Light
478,61,Car,Right Lane,3,2,Light
478,64,Car,Right Lane,3,2,Light
478,65,Car,Left Lane,3,2,Light
479,52,Car,Left Lane,3,2,Light
479,60,Car,Left Lane,3,2,Light
479,61,Car,Right Lane,3,2,Light
479,64,Car,Right Lane,3,2,Light
479,65,Car,Left Lane,3,2,Light
480,52,Car,Left Lane,3,2,Light
480,60,Car,Left Lane,3,2,Light
480,61,Car,Right Lane,3,2,Light
480,64,Car,Right Lane,3,2,Light
480,65,Car,Left Lane,3,2,Light
481,52,Car,Left Lane,3,2,Light
481,60,Car,Left Lane,3,2,Light
481,61,Car,Right Lane,3,2,Light
481,64,Car,Right Lane,3,2,Light
481,65,Car,Left Lane,3,2,Light
482,52,Car,Left Lane,3,2,Light
482,60,Car,Left Lane,3,2,Light
482,61,Car,Right Lane,3,2,Light
482,64,Car,Right Lane,3,2,Light
482,65,Car,Left Lane,3,2,Light
483,52,Car,Left Lane,3,2,Light
483,60,Car,Left Lane,3,2,Light
483,61,Car,Right Lane,3,2,Light
483,64,Car,Right Lane,3,2,Light
483,65,Car,Left Lane,3,2,Light
484,52,Car,Left Lane,3,2,Light
484,60,Car,Left Lane,3,2,Light
484,61,Car,Right Lane,3,2,Light
484,64,Car,Right Lane,3,2,Light
484,65,Car,Left Lane,3,2,Light
485,52,Car,Left Lane,3,2,Light
485,60,Car,Left Lane,3,2,Light
485,61,Car,Right Lane,3,2,Light
485,64,Car,Right Lane,3,2,Light
485,65,Car,Left Lane,3,2,Light
486,52,Car,Left Lane,3,2,Light
486,60,Car,Left Lane,3,2,Light
486,61,Car,Right Lane,3,2,Light
486,64,Car,Right Lane,3,2,Light
486,65,Car,Left Lane,3,2,Light
487,52,Car,Left Lane,3,2,Light
487,60,Car,Left Lane,3,2,Light
487,61,Car,Right Lane,3,2,Light
487,64,Car,Right Lane,3,2,Light
487,65,Car,Left Lane,3,2,Light
488,52,Car,Left Lane,3,2,Light
488,60,Car,Left Lane,3,2,Light
488,61,Car,Right Lane,3,2,Light
488,64,Car,Right Lane,3,2,Light
488,65,Car,Left Lane,3,2,Light
489,52,Car,Left Lane,3,2,Light
489,60,Car,Left Lane,3,2,Light
489,61,Car,Right Lane,3,2,Light
489,64,Car,Right Lane,3,2,Light
489,65,Car,Left Lane,3,2,Light
490,52,Car,Left Lane,3,2,Light
490,60,Car,Left Lane,3,2,Light
490,61,Car,Right Lane,3,2,Light
490,64,Car,Right Lane,3,2,Light
490,65,Car,Left Lane,3,2,Light
491,52,Car,Left Lane,3,2,Light
491,60,Car,Left Lane,3,2,Light
491,61,Car,Right Lane,3,2,Light
491,64,Car,Right Lane,3,2,Light
491,65,Car,Left Lane,3,2,Light
492,52,Car,Left Lane,3,2,Light
492,60,Car,Left Lane,3,2,Light
492,61,Car,Right Lane,3,2,Light
492,64,Car,Right Lane,3,2,Light
492,65,Car,Left Lane,3,2,Light
493,52,Car,Left Lane,3,2,Light
493,60,Car,Left Lane,3,2,Light
493,61,Car,Right Lane,3,2,Light
493,64,Car,Right Lane,3,2,Light
493,65,Car,Left Lane,3,2,Light
494,52,Car,Left Lane,3,2,Light
494,60,Car,Left Lane,3,2,Light
494,61,Car,Right Lane,3,2,Light
494,64,Car,Right Lane,3,2,Light
494,65,Car,Left Lane,3,2,Light
495,52,Car,Left Lane,3,2,Light
495,60,Car,Left Lane,3,2,Light
495,61,Car,Right Lane,3,2,Light
495,64,Car,Right Lane,3,2,Light
495,65,Car,Left Lane,3,2,Light
496,52,Car,Left Lane,3,2,Light
496,60,Car,Left Lane,3,2,Light
496,61,Car,Right Lane,3,2,Light
496,64,Car,Right Lane,3,2,Light
496,65,Car,Left Lane,3,2,Light
497,52,Car,Left Lane,3,1,Light
497,60,Car,Left Lane,3,1,Light
497,64,Car,Right Lane,3,1,Light
497,65,Car,Left Lane,3,1,Light
498,52,Car,Left Lane,3,1,Light
498,60,Car,Left Lane,3,1,Light
498,64,Car,Right Lane,3,1,Light
498,65,Car,Left Lane,3,1,Light
499,52,Car,Left Lane,3,1,Light
499,60,Car,Left Lane,3,1,Light
499,64,Car,Right Lane,3,1,Light
499,65,Car,Left Lane,3,1,Light
500,52,Car,Left Lane,3,1,Light
500,60,Car,Left Lane,3,1,Light
500,64,Car,Right Lane,3,1,Light
500,65,Car,Left Lane,3,1,Light
501,52,Car,Left Lane,3,1,Light
501,60,Car,Left Lane,3,1,Light
501,64,Car,Right Lane,3,1,Light
501,65,Car,Left Lane,3,1,Light
502,52,Car,Left Lane,3,1,Light
502,60,Car,Left Lane,3,1,Light
502,64,Car,Right Lane,3,1,Light
502,65,Car,Left Lane,3,1,Light
503,52,Car,Left Lane,3,1,Light
503,60,Car,Left Lane,3,1,Light
503,64,Car,Right Lane,3,1,Light
503,65,Car,Left Lane,3,1,Light
504,52,Car,Left Lane,3,1,Light
504,60,Car,Left Lane,3,1,Light
504,64,Car,Right Lane,3,1,Light
504,65,Car,Left Lane,3,1,Light
505,52,Car,Left Lane,3,1,Light
505,60,Car,Left Lane,3,1,Light
505,64,Car,Right Lane,3,1,Light
505,65,Car,Left Lane,3,1,Light
506,52,Car,Left Lane,3,1,Light
506,60,Car,Left Lane,3,1,Light
506,64,Car,Right Lane,3,1,Light
506,65,Car,Left Lane,3,1,Light
507,52,Car,Left Lane,3,1,Light
507,60,Car,Left Lane,3,1,Light
507,64,Car,Right Lane,3,1,Light
507,65,Car,Left Lane,3,1,Light
